SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
350,3.13,6.98,1.52,3.01,0.04,1.98,0.81,0.68,0,72.4,55.8,54,12.45,7.57,6.52,0,0,29.1,8,5.4,V9
351,2.9,6.86,1.44,3,0.06,2.09,0.78,0.68,0,97.8,61.8,51.8,14.66,10.71,8.35,0,0,34.5,15.9,13.9,V9
352,3.91,7.9,1.69,3.35,0.08,1.98,0.79,0.69,0,99.2,67.5,59.3,14.04,7.62,5.13,0,0,36.5,13.9,11.5,V9
353,3.15,6.96,1.52,2.93,0.07,1.92,0.82,0.71,0,72.2,60.5,60.7,12.64,9.62,8.68,0,0,30.8,5.9,2.9,V9
354,3.82,7.61,1.69,3.18,0.06,1.88,0.83,0.71,0,81.7,59.4,57.9,9.72,6.93,7.11,0,0,31.7,10.6,5.9,V9
355,4.3,8.11,2.09,3,0.06,1.43,0.82,0.69,0,102.3,70.6,57.7,17.25,13.68,10.11,0,0,37.7,13.3,14.3,V9
356,3.65,7.68,1.65,3.24,0.06,1.97,0.78,0.68,0,102.4,71,61.1,20.41,14.4,9.79,0,0,37.9,13.5,12.3,V9
357,3.54,7.49,1.69,3.03,0.07,1.79,0.79,0.69,0,93.2,62.4,55.7,15.07,9.76,6.94,0,0,34.1,13.9,10.7,V9
358,3.45,7.34,1.61,3,0.08,1.86,0.8,0.71,0,104.8,70.7,55.1,16.94,10.48,7.59,0,0,38,14.1,16.4,V9
359,3.38,7.17,1.74,2.86,0.07,1.64,0.83,0.68,0,86,64.6,62.5,7.79,6.17,5.91,0,0,33.9,10.1,5.9,V9
360,3.11,7.08,1.44,3.1,0.07,2.15,0.78,0.7,0,107.7,74.5,64,21.12,15.8,10.72,0.02,0.01,39.6,14.1,12.6,V9
361,3.58,7.56,1.66,3.14,0.07,1.89,0.79,0.69,0,174,163.8,137.2,13.21,13.63,11.92,0.03,0.01,70.5,4.3,12.2,V10
362,3.76,7.51,1.69,3.18,0.07,1.88,0.84,0.7,0,180.7,176.6,151.8,11.09,14.27,15.02,0.03,0.01,74.3,2.9,9.7,V10
363,3.76,7.58,1.94,2.87,0.05,1.48,0.82,0.68,0,169.2,156.2,128.7,10.07,9.82,8.92,0.02,0.01,68.1,4.9,13.5,V10
