SampleNumber,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Target Label
76,4.01,7.9,1.69,3.35,0.05,1.98,0.81,0.71,0,176.3,173.6,152.4,12.81,14.44,12.8,0.04,0.01,73.3,2.7,7.9,V2
77,4.26,8.4,1.69,3.6,0.03,2.13,0.76,0.7,0,170.7,158.3,127.6,17.01,16.04,12.23,0.12,0.03,68.7,4.4,15,V2
78,3.74,7.73,1.63,3.33,0.04,2.05,0.79,0.69,0,178.6,169.1,138.9,11.9,14.51,14.92,0.05,0.01,72.1,3.8,13.6,V2
79,4.11,7.97,1.78,3.35,0.06,1.89,0.81,0.69,0,173.2,161.3,126.7,13.26,14.15,14.15,0.11,0.03,69.6,3.9,16.8,V2
80,4.16,8.04,1.82,3.29,0.05,1.81,0.81,0.7,0,182.2,173.7,143.3,8.09,11.14,13.88,0,0,73.6,3.6,13.3,V2
81,2.99,7.06,1.44,3.01,0.05,2.09,0.75,0.69,0,48.8,47.5,50.8,11.68,8.98,8.94,0,0,23.1,1.2,-0.7,V3
82,3.23,7.15,1.55,3.03,0.06,1.95,0.8,0.69,0,69.1,51.4,51.3,9.45,5.61,5.29,0,0,27.2,8.8,4.6,V3
83,2.93,7,1.38,3.06,0.04,2.22,0.75,0.7,0,60.6,52.5,54.1,9.93,6.12,5.79,0,0,26.5,4.4,1.6,V3
84,3.62,7.78,1.6,3.33,0.06,2.07,0.75,0.68,0,57,52.5,52.7,10.65,8.4,7.91,0,0,26,2.2,2,V3
85,3.69,7.8,1.66,3.29,0.05,1.98,0.76,0.67,0,49.2,46.9,49.8,12.29,9.99,9.85,0.01,0,22.9,1.6,-0.2,V3
86,4,7.97,1.78,3.26,0.06,1.83,0.79,0.69,0,73.8,56.8,56.4,14.56,8.46,7.23,0,0,29.8,8.4,4.4,V3
87,3.13,7.1,1.51,2.99,0.06,1.98,0.78,0.69,0,61.1,45.3,45.5,12.22,7.38,7.66,0,0,23.9,8.1,4.3,V3
88,3.1,6.93,1.59,2.84,0.06,1.79,0.81,0.69,0,53.7,48.5,50.8,9.15,5.88,6.04,0,0,24.1,3,0.7,V3
89,3.28,7.27,1.59,3.07,0.07,1.93,0.78,0.67,0,50,47.3,48.3,10.87,7.97,7.91,0,0,23.1,1.5,1.2,V3
90,2.88,6.91,1.35,3.1,0.04,2.29,0.76,0.69,0,55.5,47.5,48.7,5.7,4.15,3.8,0,0,23.9,4.2,2,V3
91,3.65,7.49,1.61,3.18,0.07,1.98,0.82,0.71,0,54.7,51.9,54.4,7.74,6.2,6.05,0,0,25.5,1.9,0,V3
92,2.89,7.01,1.35,3.1,0.04,2.29,0.74,0.69,0,55,48.4,50,9.78,6.09,5.79,0,0,24.2,3.6,1.5,V3
93,3.24,7.15,1.56,3.06,0.07,1.97,0.8,0.68,0,59.1,48.3,49.5,10.53,6.52,6.38,0,0,24.7,5.6,2.5,V3
94,3.47,7.56,1.73,3.04,0.05,1.75,0.76,0.66,0,61.2,54.7,55.9,10.02,6.63,5.94,0,0,27.3,3.5,1.5,V3
95,3.72,7.73,1.69,3.18,0.06,1.88,0.78,0.69,0,56.2,48.8,50.1,11.42,7.44,8,0,0,24.5,4,1.8,V3
96,3.62,7.78,1.56,3.34,0.05,2.15,0.75,0.7,0,48.7,49,51.6,9.35,7.66,8.05,0,0,23.7,0.3,-0.5,V3
97,3.79,7.83,1.61,3.35,0.05,2.08,0.78,0.7,0,54.8,48.7,49.6,8.53,6.83,6.92,0,0,24.3,3.2,1.9,V3
98,3.76,7.9,1.6,3.43,0.03,2.14,0.76,0.68,0,58.3,50.6,52.2,10.52,7.93,7.28,0,0,25.5,4.1,1.6,V3
99,3.76,7.63,1.79,3.06,0.05,1.7,0.81,0.68,0,56,49.3,50.2,15.42,11.66,11.8,0,0,24.7,3.5,1.9,V3
100,3.65,7.37,1.61,3.1,0.07,1.93,0.84,0.73,0,61.7,54.7,56,7.26,6.11,5.85,0,0,27.4,3.8,1.5,V3
101,2.76,7.1,1.25,3.22,0.04,2.58,0.69,0.69,0,56.9,51,52.8,8.08,5.46,5.46,0,0,25.4,3.3,1.1,V3
102,2.95,7.13,1.37,3.14,0.05,2.28,0.73,0.68,0,49.5,45.5,46.5,6.52,4.18,4.47,0,0,22.3,2.1,1.5,V3
103,3.28,7.17,1.56,3,0.07,1.93,0.8,0.7,0,57.4,47.6,50,8.13,4.84,5,0,0,24.3,5.3,1.4,V3
104,2.66,6.57,1.35,2.93,0.05,2.16,0.77,0.67,0,60.3,49.7,51.7,10.65,6.72,6.92,0,0,25.4,5.7,1.8,V3
105,3.74,7.83,1.61,3.35,0.04,2.08,0.77,0.7,0,53.2,46.7,48.2,7.84,5.26,5.51,0,0,23.3,3.5,1.5,V3
106,3.21,7.03,1.52,3.01,0.07,1.98,0.82,0.7,0,59.6,54,56.3,8.12,6.41,6.54,0,0,26.9,3.3,0.6,V3
107,2.88,6.69,1.44,2.93,0.04,2.04,0.81,0.68,0,59.4,51.3,52.6,11.56,7.61,7.71,0,0,25.9,4.3,1.8,V3
108,2.63,6.45,1.36,2.82,0.06,2.07,0.8,0.69,0,55.3,50,51.7,6.91,5.08,4.58,0,0,24.8,3,1.1,V3
109,3.44,7.47,1.52,3.18,0.06,2.09,0.78,0.71,0,48.9,46.1,47.9,8.97,5.81,6.19,0,0,22.5,1.7,0.6,V3
110,3.61,7.83,1.51,3.41,0.04,2.25,0.74,0.7,0,55.2,48.8,50.2,11.16,7.83,7.82,0,0,24.4,3.4,1.5,V3
111,3.58,7.56,1.62,3.26,0.05,2.01,0.79,0.68,0.52,48.8,46.4,48.2,7.81,5.13,5.79,0,0,22.6,1.4,0.6,V3
112,3.48,7.44,1.62,3.21,0.07,1.98,0.79,0.67,0.52,60.4,48.2,51,9.32,6.12,5.58,0,0,25,6.6,1.6,V3
113,3.1,6.98,1.48,3.03,0.09,2.05,0.8,0.69,0.35,49.2,46.3,47.2,9.12,6.99,6.06,0,0,22.6,1.5,1.4,V3
114,3.34,7.44,1.57,3.21,0.04,2.04,0.76,0.66,0.47,56.4,47.9,49.4,12.76,8.58,8.8,0,0,24.2,4.5,1.9,V3
115,2.55,6.33,1.35,2.82,0.06,2.09,0.8,0.67,0.19,59.8,45.4,47.5,10.56,6.26,6.41,0,0,23.8,7.6,2.6,V3
116,2.99,7.03,1.44,3.1,0.04,2.15,0.76,0.67,0.33,65.6,48.8,48.9,12.2,6.29,6.26,0,0,25.8,8.4,4.4,V3
117,3.02,7.03,1.47,3.09,0.04,2.1,0.77,0.66,0.32,49.4,47.9,48.5,11.56,11.65,11.12,0.01,0,23.2,0.7,1.3,V3
118,3.51,7.44,1.61,3.18,0.05,1.98,0.8,0.69,0.55,53.5,46.9,49.1,7.51,7.33,7.36,0.01,0,23.4,3.7,1,V3
119,3.33,7.39,1.62,3.07,0.05,1.9,0.77,0.67,0.45,53.4,48,49.5,9.83,6.44,6.64,0,0,23.8,2.9,1.3,V3
120,3.66,7.78,1.61,3.35,0.04,2.08,0.76,0.68,0.6,58.8,50.2,50.9,10.37,7.03,6.72,0,0,25.4,4.4,2.4,V3
121,3.71,7.59,1.61,3.18,0.06,1.98,0.81,0.72,0,83.4,55.6,50.1,13.16,7.6,5.26,0,0,30.6,12.8,9.9,V4
122,3.51,7.44,1.66,3.07,0.04,1.84,0.8,0.69,0,67.3,51.6,50.5,8.35,5.52,4.91,0,0,27,7.6,4.9,V4
123,3.71,7.56,1.73,3.1,0.09,1.79,0.82,0.69,0,100.4,68.3,59.2,25.21,17.45,11.42,0,0,36.8,14,12,V4
124,2.92,6.88,1.44,2.95,0.06,2.05,0.78,0.69,0,77.5,52.6,52.4,11.93,5.68,4.35,0,0,28.9,12.2,6,V4
125,2.68,6.74,1.41,2.87,0.03,2.04,0.74,0.66,0,74.4,53.4,50.6,13.62,7.53,6.25,0,0,28.6,10,7,V4
126,3.26,7.2,1.52,3.1,0.07,2.03,0.79,0.69,0,65,52.6,53.9,14.34,8.3,8.1,0,0,27.1,6.4,2.5,V4
127,3.22,7.08,1.52,3.01,0.06,1.98,0.81,0.7,0,80.4,54.2,52.7,13.89,6.78,5.67,0,0,29.8,12.6,7,V4
128,3.31,7.03,1.61,2.93,0.07,1.82,0.84,0.7,0,78.3,59.7,49.4,19.45,13.43,9.73,0,0,31,7.6,11.4,V4
129,3.43,7.32,1.52,3.18,0.05,2.09,0.8,0.71,0,69.2,51.7,48.4,14.05,7.22,5.44,0,0,27.2,8.2,6.8,V4
130,3.11,7.15,1.47,3.19,0.03,2.17,0.76,0.66,0,69.6,51.7,50.4,13.8,8.09,7.17,0,0,27.4,8.7,5.5,V4
131,3.13,7.1,1.51,2.95,0.06,1.95,0.78,0.7,0,76.5,49.4,44.7,17.92,8.91,7.21,0,0,27.5,12.9,9.8,V4
132,3.5,7.37,1.61,3.1,0.07,1.93,0.81,0.7,0,75.6,53.9,51.6,12.8,7.61,6.43,0,0,28.9,10.4,6.7,V4
133,3.54,7.27,1.69,3.01,0.04,1.78,0.84,0.7,0,86.1,57.4,51.3,18.61,11.45,8.95,0,0,31.5,13.1,10.3,V4
134,3.85,7.85,1.61,3.4,0.05,2.12,0.79,0.7,0,74.4,53.8,51.6,18.97,10.16,8.78,0,0,28.8,9.9,6.4,V4
135,3.56,7.56,1.7,3.03,0.08,1.78,0.78,0.69,0,79.9,53.7,49.9,15.35,7.42,5.73,0,0,29.5,12.4,8.6,V4
136,3.66,7.61,1.61,3.27,0.05,2.03,0.79,0.7,0,88.7,58.4,51.6,15.53,8.39,6.79,0,0,32.2,13.8,11.1,V4
137,3.8,7.97,1.6,3.51,0.05,2.19,0.75,0.67,0,84,59.8,51.7,15.01,10.29,7.14,0,0,31.9,10.7,10.8,V4
138,3.23,7.15,1.52,3.1,0.04,2.03,0.79,0.68,0,78.4,52.1,46.9,14.09,7.21,5.12,0,0,28.7,12.3,9.8,V4
139,3.28,7.25,1.52,3.1,0.04,2.03,0.79,0.7,0,76,52.3,48.9,12.88,6.21,5.14,0,0,28.5,11.2,8,V4
140,3.73,7.73,1.73,3.16,0.05,1.83,0.79,0.68,0,92.3,60.5,54.4,11.99,7.83,6.22,0,0,33.4,14.5,10.6,V4
141,3.38,7.37,1.52,3.18,0.07,2.09,0.78,0.7,0,71.4,54.7,52.8,10.87,8.29,7.83,0,0,28.6,8,5.5,V4
142,3.31,7.56,1.48,3.37,0.05,2.28,0.73,0.67,0,74.5,55.3,52.1,11.62,6.96,5.34,0,0,29.2,9,6.9,V4
143,3.41,7.46,1.59,3.18,0.05,2,0.77,0.68,0,86.4,55.6,50.4,14.19,7.45,5.1,0,0,31,14.3,10.3,V4
144,3.61,7.71,1.52,3.35,0.06,2.2,0.76,0.71,0,79.1,54,51.5,21.75,11.89,8.4,0.01,0,29.5,12.1,7.4,V4
145,3.18,7.15,1.59,2.95,0.06,1.86,0.78,0.68,0,67.6,50.8,50.7,12.23,7.44,6.54,0,0,26.8,8.4,4.4,V4
146,3.54,7.42,1.69,3.01,0.05,1.78,0.81,0.7,0,72.9,53.3,50.4,17.01,9.37,6.99,0,0,28.3,9.3,6.9,V4
147,2.81,6.67,1.44,2.91,0.06,2.03,0.79,0.67,0,81.9,50.1,44.1,19,9.6,7.01,0,0,28.6,15,11.6,V4
148,3.32,7.42,1.44,3.27,0.04,2.27,0.76,0.71,0,84.2,53.6,50.2,14.69,6.92,6.01,0,0,30.1,14.5,9.1,V4
149,3.07,6.79,1.52,2.84,0.04,1.87,0.84,0.71,0,81,55.8,51.2,11.88,7.48,6.67,0,0,30.3,11.7,8.8,V4
150,3.47,7.61,1.51,3.29,0.05,2.18,0.75,0.7,0,68.2,53.9,53.4,8.23,5.77,5.39,0,0,28,7.1,4.1,V4
151,3.03,7.03,1.44,3.03,0.06,2.11,0.77,0.7,0,88.6,59.3,52.9,14.49,8.5,6.27,0,0,32.5,13.3,10.5,V4
152,3.58,7.61,1.61,3.27,0.06,2.03,0.78,0.68,0,68.8,49.5,48,14.22,5.84,5.03,0,0,26.5,9.4,6,V4
153,3.54,7.34,1.79,2.82,0.08,1.57,0.83,0.7,0,90.2,65.6,55.1,22.91,13.92,9.14,0,0,34.5,10.4,12,V4
154,3.34,7.22,1.61,3.1,0.06,1.93,0.81,0.67,0,80.1,54.3,50.5,11.53,6.16,5.26,0,0,29.7,12.1,8.5,V4
155,3.36,7.27,1.61,3.06,0.12,1.89,0.8,0.68,0,77.5,53.4,49.8,12.98,7.78,6.64,0,0,29,11.4,8.2,V4
156,3.68,7.68,1.69,3.27,0.06,1.94,0.78,0.67,0,83.9,57.1,50.8,14.46,7.19,5.03,0,0,31.1,12.2,10.2,V4
157,3.05,7.3,1.35,3.27,0.07,2.41,0.72,0.69,0,72.7,51.7,49.7,14.39,8.21,7.7,0,0,27.8,10.2,6.5,V4
158,3.38,7.2,1.61,3.01,0.07,1.87,0.82,0.7,0,76.4,55.8,52.9,11.51,5.93,4.83,0,0,29.7,9.7,6.9,V4
159,2.54,6.43,1.27,2.84,0.09,2.24,0.77,0.7,0,91.2,58.2,50.1,15.85,8.88,5,0,0,32.5,14.9,12.5,V4
160,2.69,6.45,1.4,2.84,0.06,2.03,0.81,0.68,0,76.3,51.5,47.1,12.97,5.26,4.02,0,0,28.2,11.7,9,V4
161,2.79,6.74,1.46,2.91,0.04,2,0.77,0.66,0.27,77.5,57.1,52.5,14.23,10.29,8.89,0,0,30.2,9.4,8,V5
162,3.38,7.39,1.6,3.11,0.05,1.94,0.78,0.68,0.45,76.4,51.1,46.1,23.78,15.67,12,0,0,28,11.9,9.5,V5
163,3.04,6.98,1.51,2.93,0.04,1.94,0.78,0.69,0.32,119.9,77.1,57.7,10.87,10.67,8.72,0,0,41.8,17.4,19.5,V5
164,3.33,7.39,1.59,3.07,0.07,1.93,0.77,0.68,0.45,79.6,52.4,47.6,13.19,7,5.16,0,0,29,12.8,9.7,V5
165,2.5,6.84,1.26,3.06,0.06,2.43,0.67,0.65,0.13,80.9,54,48.8,11.88,8,5.08,0,0,29.7,12.5,9.7,V5
166,2.8,6.62,1.35,2.93,0.04,2.16,0.8,0.71,0.27,91.1,57,48.8,18.31,9.58,6.32,0,0,32.1,15.5,12.8,V5
167,3.36,7.24,1.66,2.91,0.06,1.75,0.81,0.69,0.48,71.1,51.2,47.9,8.54,5.93,5.68,0,0,27.3,9.4,7.3,V5
168,3.42,7.49,1.52,3.27,0.04,2.14,0.77,0.69,0.47,98.6,56.3,45.5,17.04,10.4,6.73,0,0,33,19,16.1,V5
169,3.48,7.59,1.52,3.27,0.05,2.14,0.76,0.7,0.5,89.7,56,47.7,19.98,10.43,5.69,0,0,31.6,15.3,12.9,V5
170,3.44,7.32,1.61,3.1,0.07,1.93,0.81,0.69,0.49,102.3,58.7,42.7,24.74,15.39,10.11,0,0,34.1,19,19.6,V5
171,3.18,7.05,1.56,2.86,0.07,1.83,0.81,0.71,0,110.9,66.4,47.3,19.39,13.37,7.35,0,0,37.5,18.6,20.8,V5
172,3.05,7.03,1.55,2.88,0.06,1.85,0.78,0.68,0,124.5,75.8,52.4,11.91,9.26,4.98,0,0,42,19.7,23,V5
173,3.22,6.98,1.61,2.93,0.06,1.82,0.83,0.68,0,108.8,65,50.1,16.7,11.52,8.71,0.01,0,36.9,18.7,18.1,V5
174,3.33,7.27,1.66,2.99,0.04,1.8,0.79,0.67,0,92.4,58,48.3,15.75,8.14,4.93,0,0,32.6,15.4,13.8,V5
175,3.39,7.29,1.66,3.03,0.03,1.82,0.8,0.67,0,90.5,55.1,45.8,13.94,7.87,5.11,0,0,31.4,16,14,V5
176,3.4,7.45,1.44,3.18,0.04,2.21,0.77,0.74,0,84.7,56.9,48.7,22.3,12.66,8.2,0,0,31.1,12.4,11.8,V5
177,3.13,7.05,1.57,2.81,0.06,1.79,0.79,0.71,0,119.4,75.5,49.4,20.04,15.94,7.55,0,0,41.1,17.4,24.2,V5
178,2.98,7.2,1.31,3.25,0.05,2.48,0.72,0.7,0,111.6,65.2,46.6,15.53,12.13,6.39,0,0,37.3,19.6,21,V5
179,3.64,7.56,1.63,3.22,0.07,1.97,0.8,0.69,0,100.7,58.6,47.4,22.15,14.75,10.09,0,0,34,18.7,16.1,V5
180,3.45,7.56,1.66,3.1,0.05,1.86,0.76,0.67,0,98.1,58.2,47.1,20.38,11.18,5.23,0,0,33.5,17.8,15.7,V5
181,2.62,6.5,1.35,2.84,0.05,2.1,0.78,0.68,0,74.6,45.3,42.8,11.62,4.07,3.49,0,0,26,14.5,9,V5
182,3.16,7,1.56,2.88,0.07,1.85,0.81,0.71,0,111.8,75.3,52.2,9.44,8.86,7.54,0.01,0,40.1,14.3,21.2,V5
183,3.11,7.05,1.51,2.99,0.06,1.98,0.79,0.69,0,86.4,52.6,46.4,17.86,9.14,6.25,0,0,30.1,15.8,11.8,V5
184,3.53,7.61,1.63,3.18,0.04,1.95,0.77,0.68,0,86.8,49.3,42.1,21.48,10.66,7.45,0,0,29.1,17.6,13.6,V5
185,3.31,7.25,1.58,2.98,0.08,1.89,0.79,0.7,0,101,58,45.1,12.21,8.44,6.75,0,0,33.8,19.1,17.5,V5
186,3.34,7.44,1.55,3.07,0.05,1.98,0.76,0.7,0,92,57.3,50.5,13.69,7.91,5.34,0,0,32.4,15.9,11.9,V5
187,3.05,7.03,1.52,2.95,0.04,1.94,0.78,0.68,0,81.7,53.9,48.8,11.76,7.59,5.85,0,0,29.8,13,9.8,V5
188,3.53,7.66,1.52,3.35,0.04,2.2,0.76,0.69,0,92.4,55.8,47.6,17.65,8.49,5.12,0,0,31.9,16.7,13.4,V5
189,3.22,7.15,1.52,3.1,0.07,2.03,0.79,0.68,0,88.5,53.9,46.1,15.9,8.14,5.16,0,0,30.7,15.9,12.9,V5
190,2.85,6.79,1.4,2.84,0.06,2.03,0.78,0.72,0,81.5,52.5,46.7,15.83,9.16,7.74,0,0,29.3,13.5,10.6,V5
191,3.38,7.49,1.52,3.27,0.07,2.14,0.76,0.68,0,103.6,63.2,51,15.85,9.63,6.65,0,0,35.7,17.6,16,V5
192,3.55,7.61,1.61,3.27,0.05,2.03,0.77,0.68,0,93.3,55.7,48.2,15.84,9.01,7.29,0,0,32.1,17.2,13.1,V5
193,3.33,7.32,1.61,3.1,0.07,1.93,0.78,0.67,0,77.6,55.7,52.2,17.31,8.68,6.36,0,0,29.8,10.3,7.5,V5
194,2.98,6.91,1.51,2.84,0.06,1.88,0.78,0.69,0,91.4,57.1,47.7,16.92,10.23,7.39,0,0,32.1,15.4,13.7,V5
195,3.14,7.15,1.51,3.03,0.06,2,0.77,0.69,0,96.8,58.1,46.2,20.26,12.47,8.28,0,0,33.2,17.1,16.1,V5
196,3.12,7.03,1.44,3.1,0.04,2.15,0.79,0.7,0,113.4,62.5,44.4,13.24,9.78,7.64,0,0,36.9,21.8,21.6,V5
197,3.54,7.49,1.61,3.18,0.04,1.98,0.79,0.69,0,96.7,54.8,44.3,15.22,8.1,4.97,0,0,32.3,18.9,16,V5
198,3.2,7.1,1.52,3,0.04,1.97,0.8,0.7,0,93.7,60.2,49.9,14.97,9.44,5.57,0,0,33.4,14.8,13.9,V5
199,3.37,7.37,1.61,3.1,0.04,1.93,0.78,0.68,0,83.2,56,50.4,14.46,8.79,6.31,0,0,30.7,12.5,9.9,V5
200,3.11,6.98,1.51,2.95,0.04,1.95,0.8,0.69,0,90.7,57.7,49.9,12.88,7.76,5.58,0,0,32.3,15,12.3,V5
201,3.42,7.47,1.52,3.18,0.06,2.09,0.77,0.71,0,97.2,56.9,45.9,15.93,10.16,6.67,0,0,32.9,18,15.9,V6
202,3.2,7.1,1.6,2.87,0.07,1.8,0.8,0.7,0,85.2,56.1,52.9,14.8,10.65,8.54,0,0,31.1,13.8,8.5,V6
203,3.61,7.83,1.58,3.33,0.04,2.11,0.74,0.69,0,99.9,66.1,49.8,11.66,7.93,6.03,0,0,35.9,14,17.4,V6
204,3.72,7.73,1.61,3.35,0.05,2.08,0.78,0.69,0,90.4,60,51.9,14.86,8.41,6.16,0,0,32.9,13.6,11.8,V6
205,3.31,7.15,1.6,2.96,0.06,1.85,0.81,0.7,0,73.6,55.2,52.1,15.3,8.54,5.57,0,0,29.1,8.6,6.6,V6
206,3.58,7.46,1.97,2.76,0.09,1.4,0.81,0.66,0,115.3,69.8,46.5,19.73,13.97,8.39,0,0,39,18.6,23.3,V6
207,3.77,7.9,1.44,3.43,0.07,2.39,0.76,0.76,0,82.8,52.4,47.5,13.74,7.66,6.78,0,0,29.5,14.3,10.3,V6
208,3.82,7.63,2.02,2.78,0.05,1.38,0.83,0.68,0,64.8,52.7,51.3,13.69,8.27,7.44,0,0,27,5.8,4.4,V6
209,3.61,7.68,1.51,3.33,0.05,2.2,0.77,0.72,0,103.1,63.3,52.2,13.66,10.44,8.96,0,0,35.7,17.4,15.1,V6
210,3.51,7.51,1.59,3.22,0.05,2.02,0.78,0.69,0,113.7,65,43.1,17.52,11.14,5.8,0,0,37.5,20.4,23.4,V6
211,3.08,7.05,1.44,3.06,0.06,2.13,0.78,0.7,0,95.8,56.6,45.8,17.21,9.22,6.69,0,0,32.6,17.6,15.6,V6
212,3.56,7.44,1.61,3.18,0.04,1.98,0.81,0.7,0,88.2,53.6,46.2,11.46,6.82,6.27,0,0,30.6,15.9,12.7,V6
213,3.9,7.83,1.69,3.27,0.06,1.93,0.8,0.71,0,84.7,58.4,52.5,12.52,9.54,9.75,0,0,31.6,12,9.7,V6
214,3.94,8.02,1.72,3.36,0.06,1.95,0.77,0.68,0,104.9,60.5,43.4,15.03,9.74,5.88,0,0,35,19.1,20.2,V6
215,3.36,7.32,1.56,3.05,0.04,1.96,0.79,0.7,0,78.7,56.4,52,19.07,12.04,8.57,0,0,30.1,10.3,8.2,V6
216,3.8,7.78,1.69,3.27,0.06,1.93,0.79,0.69,0,103.5,59.3,44.2,14.67,9.41,7.05,0,0,34.5,19.3,19,V6
217,3.23,7.13,1.52,3.01,0.05,1.98,0.8,0.7,0,117.3,76.2,49,20.4,16.46,8.63,0,0,41,16,24.4,V6
218,3.24,7.22,1.78,2.78,0.07,1.56,0.78,0.66,0,82.6,50.2,45.4,16.31,8.61,7.2,0,0,28.8,15.4,10.8,V6
219,3.59,7.82,1.56,3.3,0.04,2.12,0.74,0.7,0,59.1,49.1,51.4,13.73,9.27,9.1,0,0,25.1,5.4,1.5,V6
220,3.31,7.13,1.52,3.01,0.04,1.98,0.82,0.72,0,96.7,61.2,49.7,17.97,11.13,7.34,0,0,34.1,15.5,14.9,V6
221,3.72,7.73,1.61,3.35,0.05,2.08,0.78,0.69,0,96.1,55.1,45.9,15.36,9.97,7.91,0,0,32.3,18.7,14.9,V6
222,3.29,7.08,1.82,2.66,0.06,1.46,0.83,0.68,0,94.7,55.2,47.3,20.93,12.44,10.19,0,0,32.1,18.1,13.8,V6
223,2.77,7.04,1.18,3.18,0.04,2.69,0.7,0.74,0,99.5,57.2,44.7,15.31,9.86,7.04,0,0,33.3,18.8,17.1,V6
224,3.28,7.2,1.52,3.1,0.03,2.03,0.79,0.7,0,85.1,56.6,49.5,17.47,9.19,7.25,0,0,31.1,13,11.1,V6
225,3.15,7.08,1.44,3.1,0.06,2.15,0.79,0.71,0,109.3,64.3,44.8,14.92,10.18,5.01,0,0,36.7,19,21.4,V6
226,2.55,6.28,1.35,2.76,0.06,2.04,0.81,0.68,0,121.9,75.7,48.8,12.73,9.4,6.21,0,0,41.5,18.3,24.9,V6
227,3.21,7.1,1.56,3,0.06,1.93,0.8,0.69,0,96,59.6,48.2,9.99,6.51,6.07,0,0,33.5,16.1,15.1,V6
228,3.16,7.2,1.52,3.09,0.05,2.04,0.77,0.67,0,123.6,74.8,47.7,15.98,13.03,6.42,0,0,41.5,19.5,25.5,V6
229,3.15,7.15,1.52,3.1,0.04,2.03,0.77,0.67,0,97.4,54.5,43.6,14.44,8.21,5.51,0,0,32.3,19.4,16.5,V6
230,3.32,7.17,1.67,2.88,0.1,1.72,0.81,0.69,0,100.3,58.7,44.9,12.58,7.02,4.48,0,0,33.9,18.3,17.7,V6
231,3.05,7.08,1.44,3.1,0.06,2.15,0.76,0.68,0,84.9,51.5,43,12.8,6.99,5.49,0,0,29.4,15.4,13.5,V6
232,3.05,6.86,1.73,2.64,0.12,1.52,0.81,0.67,0,101.9,63.1,50.8,11.78,7.76,6.92,0,0,35.4,16.9,15.8,V6
233,3.53,7.56,1.61,3.27,0.03,2.03,0.78,0.67,0,76.9,53.1,49.8,14.64,8.14,6.32,0,0,28.8,11.3,7.9,V6
234,3.45,7.36,1.69,2.96,0.06,1.75,0.8,0.69,0,88,55.4,49.5,14.07,8.04,6.87,0,0,31.2,15.1,11.1,V6
235,3.66,7.51,1.75,3.06,0.07,1.74,0.82,0.68,0,93.6,57.5,46.7,17.49,10.5,7.41,0,0,32.5,16.1,14.9,V6
236,3.81,7.97,1.72,3.28,0.06,1.91,0.76,0.68,0,88.2,55.8,46.9,20.03,12.1,9.66,0,0,31.2,14.7,13.1,V6
237,3.66,7.61,1.61,3.27,0.05,2.03,0.8,0.7,0,103.6,59.7,48.1,17.02,11.66,6.73,0,0,34.7,19.4,16.6,V6
238,3.18,7.03,1.52,3.01,0.04,1.98,0.81,0.69,0,96.8,60.7,49.5,16.29,10.55,6.07,0,0,34,15.9,14.9,V6
239,3.61,7.65,1.61,3.18,0.08,1.97,0.78,0.7,0,95.3,57.6,46.7,20.71,12.18,8.63,0,0,32.9,16.8,15.3,V6
240,3.29,7.27,1.55,3.07,0.07,1.98,0.78,0.69,0,110.4,66.7,51.9,15.61,10.96,7.33,0,0,37.7,18.7,17.9,V6
241,3.7,7.56,1.78,3.03,0.05,1.7,0.81,0.69,0,109.7,71.1,55.2,11.93,7.39,5.31,3.45,0.93,38.8,16.1,17.3,V7
242,3.33,7.39,1.51,3.18,0.07,2.1,0.77,0.69,0,113.2,73.9,53.2,17.13,12.36,6.99,2.91,0.87,39.9,15.8,20.2,V7
243,3.16,7.11,1.44,3.01,0.07,2.09,0.79,0.73,0,106.8,63.9,49.5,13.49,7.93,5.37,2.24,0.71,36.3,18.5,17.7,V7
244,3.47,7.39,1.63,2.99,0.05,1.84,0.8,0.71,0,92.9,58.8,50,19.98,12.46,10.57,1.87,0.54,32.9,15.3,13.1,V7
245,4.72,8.63,2.05,3.37,0.07,1.65,0.8,0.69,0,93.3,64.5,53.4,14.34,9.23,6.81,3.4,0.72,34.6,12.3,13.3,V7
246,3.24,7.1,1.61,3.01,0.06,1.87,0.81,0.67,0,117.5,75,56.8,8.51,6.72,4.94,3.22,0.99,40.9,17.4,19,V7
247,3.7,7.46,1.69,3.18,0.05,1.88,0.84,0.69,0,118.8,76.4,56.6,16.1,11.83,5.99,3.38,0.91,41.4,17.2,19.8,V7
248,3.47,7.37,1.52,3.18,0.05,2.09,0.8,0.72,0,109.5,71,54.5,18.45,11.72,6.66,2.91,0.84,38.7,16,17.7,V7
249,3.52,7.37,1.52,3.18,0.04,2.09,0.82,0.73,0,131.2,87.5,59.7,15.28,14.8,8.68,3.38,0.96,45.9,16.7,23.7,V7
250,3.61,7.61,1.61,3.27,0.05,2.03,0.78,0.69,0,125.4,87.3,66.2,14.69,13.28,8.02,3.48,0.96,45.3,14.9,18.8,V7
251,2.57,6.45,1.31,2.79,0.06,2.13,0.78,0.7,0,120,82,65.9,14.57,11,7.46,2.47,0.96,43.2,15.5,16.2,V7
252,3.78,7.83,1.61,3.35,0.04,2.08,0.78,0.7,0,131.6,84.1,60,11.7,11.53,7.53,3.73,0.99,45.2,18.7,22.3,V7
